slug,productName,coupangUrl,naverUrl,officialUrl
danbaekhani-proteinshake-signature-40,단백질쉐이크 (시그니처),https://www.coupang.com/vp/products/9353869033?itemId=27750430573&vendorItemId=94711345670&q=%EB%8B%A8%EB%B0%B1%ED%95%98%EB%8B%88%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98)&searchId=0953ff501916085&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mn2srx17,https://search.shopping.naver.com/search/all?query=%EB%8B%A8%EB%B0%B1%ED%95%98%EB%8B%88%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98)&prevQuery=%EB%8B%A8%EB%B0%B1%ED%95%98%EB%8B%88%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC&vertical=search,
flymill-proteinshake-banana-45,프로틴쉐이크 (바나나),https://www.coupang.com/vp/products/9074223923?itemId=26652082816&vendorItemId=94763008566&q=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80+%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC+%28%EB%B0%94%EB%82%98%EB%82%98%29&searchId=da0cc4061517016&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mn2s4337,https://search.shopping.naver.com/search/all?query=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%B0%94%EB%82%98%EB%82%98)&prevQuery=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98)&vertical=search,https://flimeal.com/product/list.html?cate_no=81
flymill-proteinshake-black-45,프로틴쉐이크 (블랙),https://www.coupang.com/vp/products/7645261242?itemId=20326903571&vendorItemId=93503575345&q=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%B8%94%EB%9E%99)&searchId=e69484881522487&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mn2s4s0b,https://search.shopping.naver.com/search/all?query=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%B8%94%EB%9E%99)&prevQuery=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%B0%94%EB%82%98%EB%82%98)&vertical=search,https://flimeal.com/product/list.html?cate_no=81
flymill-proteinshake-brown-45,프로틴쉐이크 (브라운),https://www.coupang.com/vp/products/7645260801?itemId=24119348884&vendorItemId=93503575314&q=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%B8%8C%EB%9D%BC%EC%9A%B4)&searchId=1885331a1516658&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mn2s4ff1,https://search.shopping.naver.com/search/all?query=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%B8%8C%EB%9D%BC%EC%9A%B4)&prevQuery=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%B8%94%EB%9E%99)&vertical=search,https://flimeal.com/product/list.html?cate_no=81
flymill-proteinshake-choco-45,프로틴쉐이크 (초코),https://www.coupang.com/vp/products/7260775322?itemId=18493345212&vendorItemId=93503575313&q=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%B4%88%EC%BD%94)&searchId=d18e1af81443915&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mn2s002b,https://search.shopping.naver.com/search/all?query=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%B4%88%EC%BD%94)&prevQuery=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%B8%8C%EB%9D%BC%EC%9A%B4)&vertical=search,https://flimeal.com/product/list.html?cate_no=81
flymill-proteinshake-cookie-cream-45,프로틴쉐이크 (쿠키앤크림),https://www.coupang.com/vp/products/8997840642?itemId=26363222176&vendorItemId=94763008646&q=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%BF%A0%ED%82%A4%EC%95%A4%ED%81%AC%EB%A6%BC)&searchId=6b9a94681515551&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mn2s61cj,https://search.shopping.naver.com/search/all?query=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%BF%A0%ED%82%A4%EC%95%A4%ED%81%AC%EB%A6%BC)&prevQuery=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%B4%88%EC%BD%94)&vertical=search,https://flimeal.com/product/list.html?cate_no=81
flymill-proteinshake-corn-cereal-45,프로틴쉐이크 (콘시리얼),https://www.coupang.com/vp/products/9374602315?itemId=27925912250&vendorItemId=94763008591&q=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80+%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC+%28%EC%BD%98%EC%8B%9C%EB%A6%AC%EC%96%BC%29&searchId=69bf972f1502967&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mn2s5ope,https://search.shopping.naver.com/search/all?query=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%BD%98%EC%8B%9C%EB%A6%AC%EC%96%BC)&prevQuery=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%BF%A0%ED%82%A4%EC%95%A4%ED%81%AC%EB%A6%BC)&vertical=search,https://flimeal.com/product/list.html?cate_no=81
flymill-proteinshake-dolce-latte-45,프로틴쉐이크 (돌체라떼),https://www.coupang.com/vp/products/7589406710?itemId=20052079603&vendorItemId=94763008553&q=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%8F%8C%EC%B2%B4%EB%9D%BC%EB%96%BC)&searchId=7dbd0bb11482032&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mn2s1gy5,https://search.shopping.naver.com/search/all?query=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%8F%8C%EC%B2%B4%EB%9D%BC%EB%96%BC)&prevQuery=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%BD%98%EC%8B%9C%EB%A6%AC%EC%96%BC)&vertical=search,https://flimeal.com/product/list.html?cate_no=81
flymill-proteinshake-goguma-45,프로틴쉐이크 (고구마),https://www.coupang.com/vp/products/7589407783?itemId=23980341176&vendorItemId=93503575346&q=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EA%B3%A0%EA%B5%AC%EB%A7%88)&searchId=701d8aa41604715&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mn2s0njz,https://search.shopping.naver.com/search/all?query=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EA%B3%A0%EA%B5%AC%EB%A7%88)&prevQuery=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%8F%8C%EC%B2%B4%EB%9D%BC%EB%96%BC)&vertical=search,https://flimeal.com/product/list.html?cate_no=81
flymill-proteinshake-green-45,프로틴쉐이크 (그린),https://www.coupang.com/vp/products/7295771059?itemId=23980357720&vendorItemId=94763008565&q=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EA%B7%B8%EB%A6%B0)&searchId=93b3696f1459864&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mn2s0zxb,https://search.shopping.naver.com/search/all?query=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EA%B7%B8%EB%A6%B0)&prevQuery=%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80%20%ED%94%84%EB%A1%9C%ED%8B%B4%EC%89%90%EC%9D%B4%ED%81%AC%20(%EA%B3%A0%EA%B5%AC%EB%A7%88)&vertical=search,https://flimeal.com/product/list.html?cate_no=81
